class,precision,recall,f1
0,0.8518518518518519,0.8363636363636363,0.8440366972477065
1,0.921875,0.944,0.9328063241106719
2,0.4666666666666667,0.4666666666666667,0.4666666666666667
3,0.6153846153846154,0.5333333333333333,0.5714285714285715
4,0.54,0.54,0.54
5,0.6885245901639344,0.7636363636363637,0.7241379310344828
6,0.7777777777777778,0.4666666666666667,0.5833333333333334
7,0.8571428571428571,0.8,0.8275862068965518
8,0.7636363636363637,0.84,0.8000000000000002
9,0.8016528925619835,0.776,0.7886178861788617

accuracy,f1_macro,f1_weight
0.7788461538461539,0.720911682068088,0.77686782356984
